"CustomerID","loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","addr_state"
"C900002437","4000","4000","60 months","7.29%","79.76","A","A4","Time Warner Cable","10+ years","MORTGAGE","50000","not verified","medical","766xx","TX"
"C900006073","16000","16000","60 months","18.25%","408.48","F","F1","Ottawa University","< 1 year","RENT","39216","not verified","debt_consolidation","660xx","KS"
"C900007834","8700","8700","36 months","7.88%","272.15","A","A5","Kennedy Wilson","4 years","RENT","65000","not verified","credit_card","916xx","CA"
"C900001691","18000","18000","60 months","11.49%","395.78","B","B4","TOWN OF PLATTEKILL","10+ years","MORTGAGE","57500","not verified","debt_consolidation","124xx","NY"
"C900002594","16000","16000","36 months","11.83%","530.15","B","B3","Belmont Correctional","10+ years","MORTGAGE","50004","VERIFIED - income","debt_consolidation","439xx","OH"
"C900001302","3000","3000","60 months","15.58%","72.29","D","D3","BAE Systems","4 years","RENT","47028","VERIFIED - income","other","200xx","DC"
"C900009676","14000","8725","60 months","7.51%","174.88","A","A4","Peninsula Counseling Center","10+ years","MORTGAGE","126000","not verified","credit_card","103xx","NY"
"C900007664","3975","3975","60 months","17.58%","100.04","D","D4","Health Plan of Nevada","6 years","MORTGAGE","42000","VERIFIED - income source","debt_consolidation","891xx","NV"
"C900000366","25000","25000","36 months","15.58%","873.76","D","D3","John Deere","2 years","MORTGAGE","50000","VERIFIED - income","debt_consolidation","612xx","IL"
"C900003749","10000","10000","36 months","8.00%","313.37","A","A3","","< 1 year","RENT","40000","not verified","car","926xx","CA"
"C900002246","10000","10000","36 months","6.62%","307.04","A","A2","","3 years","RENT","74000","VERIFIED - income source","credit_card","921xx","CA"
"C900006591","23000","23000","36 months","12.18%","765.9","B","B4","Deliotte/ BearingPoint","5 years","RENT","112000","not verified","debt_consolidation","200xx","DC"
"C900005305","20000","20000","36 months","8.90%","635.07","A","A5","Averro inc.","< 1 year","RENT","148080","VERIFIED - income","debt_consolidation","980xx","WA"
"C900003067","6500","3725","36 months","10.96%","121.89","B","B5","Photography By Foschi  LLC","10+ years","RENT","44724","not verified","wedding","198xx","DE"
"C900001985","5000","5000","36 months","7.29%","155.05","A","A4","Bridgepoint Education","1 year","RENT","1e+05","not verified","other","920xx","CA"
"C900000341","25000","25000","60 months","11.71%","552.46","B","B3","SUBURBAN LOCK SERVICE","10+ years","MORTGAGE","75000","VERIFIED - income","debt_consolidation","604xx","IL"
"C900002003","7350","7350","36 months","7.66%","229.18","A","A5","","10+ years","OWN","22000","VERIFIED - income source","other","324xx","FL"
"C900003877","4000","4000","60 months","13.35%","91.74","C","C4","Stryker  Tams and Dill","< 1 year","RENT","30000","VERIFIED - income source","debt_consolidation","076xx","NJ"
"C900001577","20000","20000","36 months","12.42%","668.31","B","B4","San Jacinto Unified School District","3 years","RENT","63000","VERIFIED - income","debt_consolidation","925xx","CA"
"C900008198","30000","30000","36 months","11.49%","989.14","B","B4","Office of the Federal Defender","3 years","MORTGAGE","120000","VERIFIED - income source","house","606xx","IL"
"C900008355","12000","12000","36 months","16.00%","421.89","D","D5","HCG Medical","2 years","MORTGAGE","72000","not verified","small_business","741xx","OK"
"C900000883","20000","20000","36 months","11.99%","664.2","B","B5","Eastern Virginia Medical School","1 year","RENT","350000","VERIFIED - income","credit_card","234xx","VA"
"C900002041","25000","16900","60 months","16.45%","415.03","E","E1","LOS ANGELES COUNTY - DPSS","10+ years","RENT","56000","VERIFIED - income","debt_consolidation","908xx","CA"
"C900005084","10000","10000","36 months","12.53%","334.67","B","B5","Presidential Airways","1 year","MORTGAGE","191000","not verified","educational","324xx","FL"
"C900001631","6900","6900","36 months","9.88%","222.26","B","B1","University of New Hampshire","10+ years","RENT","47480","not verified","other","038xx","NH"
"C900004389","26000","26000","60 months","18.25%","663.78","F","F1","northrop grumman","8 years","MORTGAGE","33600","VERIFIED - income","major_purchase","236xx","VA"
"C900006565","6000","6000","36 months","10.59%","195.27","B","B2","National Action Financial Services","2 years","MORTGAGE","42000","not verified","other","142xx","NY"
"C900006869","5400","5400","36 months","7.42%","167.78","A","A3","Holyoke Credit Union","5 years","MORTGAGE","40000","not verified","debt_consolidation","010xx","MA"
"C900000845","7500","7500","36 months","15.45%","261.65","E","E5","Innovative Technology Holdings","3 years","MORTGAGE","55000","not verified","credit_card","614xx","IL"
"C900006622","8000","8000","36 months","14.61%","275.81","D","D1","Edmunds.com Inc","4 years","RENT","120000","not verified","other","918xx","CA"
"C900002018","12025","12025","36 months","13.49%","408.02","C","C2","iCrossing Inc.","< 1 year","MORTGAGE","1e+05","VERIFIED - income","debt_consolidation","200xx","DC"
"C900004786","7200","7200","60 months","13.80%","166.79","C","C4","US Postal Service","3 years","MORTGAGE","48000","VERIFIED - income","debt_consolidation","287xx","NC"
"C900005329","11600","11600","60 months","13.49%","266.86","C","C2","Sasquatch Advertising","5 years","RENT","41000","not verified","debt_consolidation","972xx","OR"
"C900003124","2800","2800","36 months","7.40%","86.97","A","A2","Millen United Methodist Church","1 year","RENT","8000","VERIFIED - income source","car","304xx","GA"
"C900000714","25000","25000","60 months","14.91%","593.57","D","D2","Graham Packagaing Company","10+ years","MORTGAGE","80000","VERIFIED - income","debt_consolidation","660xx","KS"
"C900001521","20000","20000","36 months","10.99%","654.68","B","B3","Headstrong Services LLC","2 years","RENT","95000","VERIFIED - income","credit_card","232xx","VA"
"C900005218","12500","12500","36 months","10.25%","404.81","B","B2","Citi Financial","4 years","RENT","60000","VERIFIED - income","debt_consolidation","802xx","CO"
"C900006434","6000","6000","36 months","10.59%","195.27","B","B2","LabCorp of America","2 years","RENT","42000","not verified","debt_consolidation","918xx","CA"
"C900001635","7000","7000","36 months","11.11%","229.54","B","B5","Neurowave Medical Technologies","3 years","OWN","36400","not verified","debt_consolidation","606xx","IL"
"C900005291","12000","12000","36 months","13.06%","404.68","C","C2","Arthur J Gallagher Risk Management","1 year","RENT","65400","VERIFIED - income source","credit_card","932xx","CA"
"C900001925","13300","8275","60 months","11.12%","180.42","B","B3","MediMedia","2 years","RENT","58000","not verified","debt_consolidation","070xx","NJ"
"C900006025","14000","14000","60 months","13.99%","325.69","C","C3","Miele Inc","4 years","RENT","315600","VERIFIED - income source","debt_consolidation","088xx","NJ"
"C900004437","3000","3000","36 months","5.79%","90.99","A","A2","Indus Corp","2 years","MORTGAGE","45000","not verified","home_improvement","210xx","MD"
"C900004416","6000","6000","36 months","7.51%","186.66","A","A4","Coyote Point Systems","5 years","RENT","55000","not verified","debt_consolidation","060xx","CT"
"C900003452","9000","9000","36 months","7.14%","278.48","A","A3","Saint Louis University","4 years","MORTGAGE","141000","VERIFIED - income","major_purchase","633xx","MO"
"C900004058","16675","16675","60 months","11.71%","368.49","B","B3","Grande Ronde Hospital","7 years","MORTGAGE","72000","not verified","car","978xx","OR"
"C900004247","15000","15000","36 months","13.92%","512.06","C","C4","Sauk Prairie Memorial Hospital","< 1 year","MORTGAGE","35000","VERIFIED - income source","debt_consolidation","535xx","WI"
"C900001372","5500","5500","36 months","12.73%","184.62","C","C1","Tampa Truck Center LLC","3 years","MORTGAGE","42240","not verified","debt_consolidation","335xx","FL"
"C900001168","12000","12000","36 months","5.79%","363.93","A","A2","KIC","10+ years","MORTGAGE","66000","not verified","home_improvement","857xx","AZ"
"C900002977","12000","12000","36 months","11.71%","396.92","B","B3","Fox News Channel","6 years","RENT","86496","VERIFIED - income source","debt_consolidation","115xx","NY"
"C900004152","7800","7800","60 months","10.00%","165.73","B","B2","United Celebral Paulsy Assoc","10+ years","RENT","52656","VERIFIED - income","medical","104xx","NY"
"C900004413","16000","16000","60 months","22.35%","445.1","F","F5","Dynanet Corporation","1 year","MORTGAGE","120000","VERIFIED - income source","other","207xx","MD"
"C900006755","1925","1925","36 months","12.18%","64.11","B","B4","Vibe Teacher Recruitment","< 1 year","RENT","30000","not verified","educational","272xx","SC"
"C900008213","10000","10000","36 months","5.42%","301.6","A","A1","KTTV 11 Fox TV","10+ years","MORTGAGE","120000","not verified","major_purchase","913xx","CA"
"C900004665","6000","6000","36 months","7.90%","187.75","A","A4","data net","< 1 year","RENT","23040","VERIFIED - income source","credit_card","951xx","CA"
"C900009531","5375","5375","60 months","12.69%","121.45","B","B5","Starbucks","< 1 year","RENT","15000","VERIFIED - income","other","774xx","TX"
"C900001477","22800","22800","36 months","12.21%","759.58","B","B5","Professional Risk Management Services","3 years","OWN","43000","VERIFIED - income","debt_consolidation","221xx","VA"
"C900008438","5000","5000","36 months","9.67%","160.57","B","B1","Herb's Pool Service Inc","10+ years","MORTGAGE","99600","VERIFIED - income","medical","954xx","CA"
"C900007882","8000","8000","36 months","12.42%","267.33","B","B4","City of Hillsboro","10+ years","RENT","40000","not verified","credit_card","971xx","OR"
"C900007762","2500","2500","36 months","18.78%","91.37","F","F3","American Public Media","< 1 year","RENT","65000","not verified","small_business","554xx","MN"
"C900005735","17800","17800","36 months","10.25%","576.45","B","B2","Emerson Climate Technology","6 years","MORTGAGE","61781","VERIFIED - income","credit_card","453xx","OH"
"C900009008","14400","14400","36 months","11.14%","472.4","B","B2","General Motors Company","3 years","RENT","72000","VERIFIED - income","debt_consolidation","483xx","MI"
"C900009740","11200","11200","60 months","10.99%","243.46","B","B3","catholic charities","3 years","RENT","29000","not verified","debt_consolidation","188xx","PA"
"C900001944","10000","10000","36 months","13.80%","340.81","C","C4","Jason Industrial","10+ years","MORTGAGE","42500","VERIFIED - income","debt_consolidation","601xx","IL"
"C900008200","8000","8000","36 months","9.99%","258.1","B","B1","Sunray ISD","< 1 year","RENT","53052","VERIFIED - income source","other","790xx","TX"
"C900008961","5750","5750","36 months","8.00%","180.19","A","A3","Blackboard","1 year","RENT","70000","VERIFIED - income source","credit_card","200xx","DC"
"C900006562","13000","13000","36 months","8.90%","412.8","A","A5","Millenium Hotels and Resorts Anchorage","< 1 year","RENT","25000","VERIFIED - income source","debt_consolidation","995xx","AK"
